@relation monks-1.data

@attribute c {1.0,0.0}
@attribute a1 {1.0,2.0,3.0}
@attribute a2 {1.0,2.0,3.0}
@attribute a3 {1.0,2.0}
@attribute a4 {1.0,3.0,2.0}
@attribute a5 {3.0,2.0,4.0,1.0}
@attribute a6 {1.0,2.0}

@data
1.0,1.0,1.0,1.0,1.0,3.0,1.0
1.0,1.0,1.0,1.0,1.0,3.0,2.0
1.0,1.0,1.0,1.0,3.0,2.0,1.0
1.0,1.0,1.0,1.0,3.0,3.0,2.0
1.0,1.0,1.0,2.0,1.0,2.0,1.0
1.0,1.0,1.0,2.0,1.0,2.0,2.0
1.0,1.0,1.0,2.0,2.0,3.0,1.0
1.0,1.0,1.0,2.0,2.0,4.0,1.0
1.0,1.0,1.0,2.0,3.0,1.0,2.0
1.0,1.0,2.0,1.0,1.0,1.0,2.0
0.0,1.0,2.0,1.0,1.0,2.0,1.0
0.0,1.0,2.0,1.0,1.0,3.0,1.0
0.0,1.0,2.0,1.0,1.0,4.0,2.0
1.0,1.0,2.0,1.0,2.0,1.0,1.0
0.0,1.0,2.0,1.0,2.0,3.0,1.0
0.0,1.0,2.0,1.0,2.0,3.0,2.0
0.0,1.0,2.0,1.0,2.0,4.0,2.0
0.0,1.0,2.0,1.0,3.0,2.0,1.0
0.0,1.0,2.0,1.0,3.0,4.0,2.0
0.0,1.0,2.0,2.0,1.0,2.0,2.0
0.0,1.0,2.0,2.0,2.0,3.0,2.0
0.0,1.0,2.0,2.0,2.0,4.0,1.0
0.0,1.0,2.0,2.0,2.0,4.0,2.0
0.0,1.0,2.0,2.0,3.0,2.0,2.0
0.0,1.0,2.0,2.0,3.0,3.0,1.0
0.0,1.0,2.0,2.0,3.0,3.0,2.0
0.0,1.0,3.0,1.0,1.0,2.0,1.0
0.0,1.0,3.0,1.0,1.0,4.0,1.0
0.0,1.0,3.0,1.0,2.0,2.0,1.0
0.0,1.0,3.0,1.0,2.0,4.0,1.0
1.0,1.0,3.0,1.0,3.0,1.0,2.0
0.0,1.0,3.0,1.0,3.0,2.0,2.0
0.0,1.0,3.0,1.0,3.0,3.0,1.0
0.0,1.0,3.0,1.0,3.0,4.0,1.0
0.0,1.0,3.0,1.0,3.0,4.0,2.0
0.0,1.0,3.0,2.0,1.0,2.0,2.0
1.0,1.0,3.0,2.0,2.0,1.0,2.0
0.0,1.0,3.0,2.0,2.0,2.0,2.0
0.0,1.0,3.0,2.0,2.0,3.0,2.0
0.0,1.0,3.0,2.0,2.0,4.0,1.0
0.0,1.0,3.0,2.0,2.0,4.0,2.0
1.0,1.0,3.0,2.0,3.0,1.0,1.0
0.0,1.0,3.0,2.0,3.0,2.0,1.0
0.0,1.0,3.0,2.0,3.0,4.0,1.0
0.0,1.0,3.0,2.0,3.0,4.0,2.0
0.0,2.0,1.0,1.0,1.0,3.0,1.0
0.0,2.0,1.0,1.0,1.0,3.0,2.0
1.0,2.0,1.0,1.0,2.0,1.0,1.0
1.0,2.0,1.0,1.0,2.0,1.0,2.0
0.0,2.0,1.0,1.0,2.0,2.0,2.0
0.0,2.0,1.0,1.0,2.0,3.0,1.0
0.0,2.0,1.0,1.0,2.0,4.0,1.0
0.0,2.0,1.0,1.0,2.0,4.0,2.0
0.0,2.0,1.0,1.0,3.0,4.0,1.0
0.0,2.0,1.0,2.0,1.0,2.0,2.0
0.0,2.0,1.0,2.0,1.0,3.0,1.0
0.0,2.0,1.0,2.0,1.0,4.0,2.0
0.0,2.0,1.0,2.0,2.0,3.0,1.0
0.0,2.0,1.0,2.0,2.0,4.0,2.0
0.0,2.0,1.0,2.0,3.0,2.0,2.0
0.0,2.0,1.0,2.0,3.0,4.0,1.0
1.0,2.0,2.0,1.0,1.0,2.0,1.0
1.0,2.0,2.0,1.0,1.0,2.0,2.0
1.0,2.0,2.0,1.0,1.0,3.0,1.0
1.0,2.0,2.0,1.0,2.0,3.0,2.0
1.0,2.0,2.0,1.0,3.0,1.0,1.0
1.0,2.0,2.0,1.0,3.0,1.0,2.0
1.0,2.0,2.0,1.0,3.0,2.0,2.0
1.0,2.0,2.0,1.0,3.0,3.0,2.0
1.0,2.0,2.0,1.0,3.0,4.0,2.0
1.0,2.0,2.0,2.0,1.0,1.0,1.0
1.0,2.0,2.0,2.0,1.0,3.0,2.0
1.0,2.0,2.0,2.0,1.0,4.0,1.0
1.0,2.0,2.0,2.0,1.0,4.0,2.0
1.0,2.0,2.0,2.0,2.0,2.0,1.0
1.0,2.0,2.0,2.0,3.0,4.0,1.0
1.0,2.0,3.0,1.0,1.0,1.0,1.0
1.0,2.0,3.0,1.0,2.0,1.0,1.0
